,Employers,City,State,Jobs,Links
422,"Visionist, Inc.",Washington,DC,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=922&ao=1091461&s=58&guid=000001758ae7cd8d92f1950bc133d024&src=GD_JOB_AD&t=SR&vt=w&cs=1_2a22bf73&cb=1604353249229&jobListingId=3664705688
423,MITRE,Washington,DC,"Machine Learning - Computer Scientist, Senior",https://www.glassdoor.com/partner/jobListing.htm?pos=923&ao=296640&s=58&guid=000001758ae7cd8d92f1950bc133d024&src=GD_JOB_AD&t=SR&vt=w&cs=1_41d80df0&cb=1604353249229&jobListingId=3645208251
424,Navy Federal Credit Union,Washington,DC,Cloud Data Engineer (Azure),https://www.glassdoor.com/partner/jobListing.htm?pos=924&ao=1044074&s=58&guid=000001758ae7cd8d92f1950bc133d024&src=GD_JOB_AD&t=SR&vt=w&cs=1_c7546ca2&cb=1604353249230&jobListingId=3698746728
425,Improvix Technologies,Washington,DC,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=925&ao=1091461&s=58&guid=000001758ae7cd8d92f1950bc133d024&src=GD_JOB_AD&t=SR&vt=w&cs=1_8bffb2f7&cb=1604353249230&jobListingId=3680363381
426,DataRobot,Washington,DC,Customer Facing Data Scientist - Public Sector,https://www.glassdoor.com/partner/jobListing.htm?pos=926&ao=4120&s=58&guid=000001758ae7cd8d92f1950bc133d024&src=GD_JOB_AD&t=SR&vt=w&cs=1_0d94c1ba&cb=1604353249231&jobListingId=3682332947
427,ManTech International Corporation,Washington,DC,"Data Scientist, SME",https://www.glassdoor.com/partner/jobListing.htm?pos=927&ao=1091461&s=58&guid=000001758ae7cd8d92f1950bc133d024&src=GD_JOB_AD&t=SR&vt=w&cs=1_7da9def6&cb=1604353249231&jobListingId=3670106194
428,Computercraft,Washington,DC,Data Scientist Outreach Coordinator,https://www.glassdoor.com/partner/jobListing.htm?pos=928&ao=1091461&s=58&guid=000001758ae7cd8d92f1950bc133d024&src=GD_JOB_AD&t=SR&vt=w&cs=1_1f012b57&cb=1604353249232&jobListingId=3664838337
429,Parsons Corporation,Washington,DC,Statistician/Data Scientist (Data Miner),https://www.glassdoor.com/partner/jobListing.htm?pos=929&ao=242900&s=58&guid=000001758ae7cd8d92f1950bc133d024&src=GD_JOB_AD&t=SR&vt=w&cs=1_90b0edc1&cb=1604353249232&jobListingId=3719906955
430,US Department of the Navy,Washington,DC,STATISTICIAN (DATA SCIENTIST),https://www.glassdoor.com/partner/jobListing.htm?pos=1001&ao=1091461&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_d046de0b&cb=1604353257375&jobListingId=3727222256
431,Varen Technologies,Washington,DC,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1002&ao=1006534&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_c53da44e&cb=1604353257375&jobListingId=3643864672
432,"Best Value Technology, Inc.",Washington,DC,Data Scientists - Statisticians (Multiple Positions),https://www.glassdoor.com/partner/jobListing.htm?pos=1003&ao=4346&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_59189414&cb=1604353257376&jobListingId=3702151215
433,CACI International,Washington,DC,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1004&ao=205804&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_d12388a2&cb=1604353257376&jobListingId=3618202028
434,RELX,Washington,DC,Pattern Analysis Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1005&ao=242900&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_29633f46&cb=1604353257378&jobListingId=3693142123
435,CS2,Washington,DC,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1006&ao=46442&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_79501c3c&cb=1604353257379&jobListingId=3728287388
436,Human Resources Research Organization,Washington,DC,"Data Scientist , Emphasis Machine Learning & Statistical Methods - OCT20-03",https://www.glassdoor.com/partner/jobListing.htm?pos=1007&ao=152916&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e1a31868&cb=1604353257380&jobListingId=3723710250
437,Howard University,Washington,DC,Data Scientist - College of Medicine,https://www.glassdoor.com/partner/jobListing.htm?pos=1008&ao=1091461&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_3418a2eb&cb=1604353257383&jobListingId=3662520560
438,Huxley,Washington,DC,NLP Data Scientist and Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=1009&ao=4120&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_232c9c08&cb=1604353257383&jobListingId=3716177826
439,Perspecta,Washington,DC,Research Scientist - Software Defined Radio,https://www.glassdoor.com/partner/jobListing.htm?pos=1010&ao=1044074&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_7554d58f&cb=1604353257383&jobListingId=3668719831
440,Mitre Corporation,Washington,DC,"Computer Scientist / Machine Learning, Staff",https://www.glassdoor.com/partner/jobListing.htm?pos=1011&ao=296640&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_0a4a83f0&cb=1604353257383&jobListingId=3710903121
441,By Light HQ,Washington,DC,Sr. Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1012&ao=1020558&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_7b011464&cb=1604353257384&jobListingId=3615117477
442,International Foundation for Electoral Systems (IFES),Washington,DC,Data Scientist - Call for Resumes,https://www.glassdoor.com/partner/jobListing.htm?pos=1013&ao=4120&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_4e19c22f&cb=1604353257384&jobListingId=3685797815
443,Deloitte,Washington,DC,Jr. Data Scientist with Active Secret Clearance,https://www.glassdoor.com/partner/jobListing.htm?pos=1014&ao=1091461&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_e4d810e8&cb=1604353257385&jobListingId=3662507299
444,RIVA Solutions,Washington,DC,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1015&ao=321320&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_298047a2&cb=1604353257385&jobListingId=3629167491
445,By Light Professional IT Services LLC,Washington,DC,Sr. Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1016&ao=1091461&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_d203843c&cb=1604353257386&jobListingId=3662514870
446,DMI,Washington,DC,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1017&ao=1020558&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_d1976e22&cb=1604353257387&jobListingId=3640870947
447,PwC,Washington,DC,Data Scientist - Advanced Analytics (Industrial Products & Services),https://www.glassdoor.com/partner/jobListing.htm?pos=1018&ao=133105&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_b04ea73a&cb=1604353257387&jobListingId=3710595203
448,General Dynamics Information Technology,Washington,DC,Data Scientist with TS/SCI Clearance,https://www.glassdoor.com/partner/jobListing.htm?pos=1019&ao=1029332&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_061d92be&cb=1604353257388&jobListingId=3726010706
449,Salient CRGT,Washington,DC,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1020&ao=4008&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_1c833e26&cb=1604353257388&jobListingId=3641332008
450,FourthWall Media,Washington,DC,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1021&ao=1091461&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_28e07111&cb=1604353257389&jobListingId=3670385379
451,MITRE,Washington,DC,Lead Data Scientist – Network Analysis and Control,https://www.glassdoor.com/partner/jobListing.htm?pos=1022&ao=296638&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_84a83a74&cb=1604353257389&jobListingId=3612414770
452,DataRobot,Washington,DC,Customer Facing Data Scientist - TS/SCI Clearance,https://www.glassdoor.com/partner/jobListing.htm?pos=1023&ao=4120&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_d78b8f5c&cb=1604353257390&jobListingId=3614590485
453,"Koniag, Inc.",Washington,DC,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1024&ao=4346&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_dec964d2&cb=1604353257391&jobListingId=3553768528
454,IBM,Washington,DC,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1025&ao=128418&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_66e911e9&cb=1604353257391&jobListingId=3725417084
455,SAIC,Washington,DC,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1026&ao=1031994&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_89d6a691&cb=1604353257393&jobListingId=3635611065
456,"Tantus Technologies, Inc.",Washington,DC,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1027&ao=974940&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_03a86642&cb=1604353257393&jobListingId=3720381062
457,Radiant Digital,Washington,DC,Sr. Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1028&ao=37049&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_01013d5d&cb=1604353257393&jobListingId=3702052385
458,Internal Revenue Service,Washington,DC,Statistician (Data Scientist) *12 month Roster* *Direct Hire*,https://www.glassdoor.com/partner/jobListing.htm?pos=1029&ao=39106&s=58&guid=000001758ae7edd28a90ff128439848c&src=GD_JOB_AD&t=SR&vt=w&cs=1_f5f4d8dc&cb=1604353257394&jobListingId=3601337710
459,PicnicHealth,San Francisco,CA,Data Scientist / Quantitative Research,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1122724&s=149&guid=000001758ae829a1ab1fd94c55dbbb33&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_a16e1872&cb=1604353272804&jobListingId=3633169021
460,Earnest,San Francisco,CA,"Senior Data Scientist (San Francisco, CA)",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1088429&s=149&guid=000001758ae829a1ab1fd94c55dbbb33&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_1e2411da&cb=1604353272804&jobListingId=3671486024
461,Torani,San Francisco,CA,Senior Food Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044077&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f15bc836&cb=1604353272804&jobListingId=3625722897
462,Charles River Laboratories,San Francisco,CA,Research Scientist 1,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044074&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_7d2750b8&cb=1604353272805&jobListingId=3640696469
463,Grammarly,San Francisco,CA,Applied Research Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1138206&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_c70c9b0a&cb=1604353272807&jobListingId=3707519749
464,Arsenal Biosciences,San Francisco,CA,Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1070179&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_252f3d69&cb=1604353272807&jobListingId=3461039950
465,MarinHealth Medical Center,San Francisco,CA,Clinical Laboratory Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044074&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_cf3ff89d&cb=1604353272809&jobListingId=3625824736
466,Karius,San Francisco,CA,Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1039387&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_65e5d34b&cb=1604353272810&jobListingId=3523366549
467,Media Matters Worldwide,San Francisco,CA,Analytics Manager,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1044077&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_38070ed9&cb=1604353272810&jobListingId=3703087329
468,"Side, Inc.",San Francisco,CA,Principal/Architect Data Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1044074&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_53e3098e&cb=1604353272811&jobListingId=3724963728
469,PPD,San Francisco,CA,"Scientist - Formulation , Small Molecule , HPLC , DLS",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1044074&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_8ecc9652&cb=1604353272812&jobListingId=3694416639
470,Stripe,San Francisco,CA,"Data Analyst, Payments",https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1020587&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_10e6f419&cb=1604353272812&jobListingId=3635383334
471,Charles River Laboratories,San Francisco,CA,"Research Scientist 1, In-Vivo",https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1044074&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_404f977d&cb=1604353272812&jobListingId=3726638196
472,Apellis,San Francisco,CA,Quality Control Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1111987&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9fc36498&cb=1604353272812&jobListingId=3594917087
473,Asana,San Francisco,CA,Data Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=605174&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_70118588&cb=1604353272813&jobListingId=3635454443
474,Canventa Life Sciences,San Francisco,CA,"Senior Scientist, Cell Manufacturing",https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1044077&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_dbfc9c57&cb=1604353272815&jobListingId=3700831353
475,PicnicHealth,San Francisco,CA,"Data Scientist, Operations",https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1129249&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_ea79c03b&cb=1604353272815&jobListingId=3671475478
476,Blue Owl,San Francisco,CA,Data Scientist -,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1060438&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_1d019b2b&cb=1604353272815&jobListingId=3606797381
477,Alveo Technologies,San Francisco,CA,Sr. Scientist R&D,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1044077&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3bf1d7e4&cb=1604353272815&jobListingId=3647452472
478,Woodruff Sawyer,San Francisco,CA,Sr. Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1011570&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_fdc4a790&cb=1604353272815&jobListingId=3674384962
479,Tapjoy,San Francisco,CA,Principal Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1087835&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_f85e60d2&cb=1604353272816&jobListingId=3721765621
480,Amyris,San Francisco,CA,Data Scientist 3 (844),https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1089633&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_297cba66&cb=1604353272816&jobListingId=3671989309
481,Rubicon,San Francisco,CA,Sr. Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1138238&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_497122cd&cb=1604353272816&jobListingId=3689451272
482,Wind River,San Francisco,CA,Data Architect/Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1087378&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_468cf38f&cb=1604353272817&jobListingId=3674749598
483,Mawi DNA Technologies,San Francisco,CA,Senior Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1044077&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4474dc81&cb=1604353272818&jobListingId=3667960758
484,PPD,San Francisco,CA,"Senior Scientist - GMP, Method Development , ELISA , Cell-Based Assay",https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1044074&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_a996ac30&cb=1604353272818&jobListingId=3723331117
485,Postmates,San Francisco,CA,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1090523&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_b2766836&cb=1604353272819&jobListingId=3366352443
486,Nektar Therapeutics,San Francisco,CA,"Scientist II, Clinical Pharmacology",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1041618&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_38c06299&cb=1604353272819&jobListingId=3619872817
487,Chan Zuckerberg Initiative,San Francisco,CA,"Data Engineer, Education",https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1132891&s=58&guid=000001758ae829a19237587bd8128b80&src=GD_JOB_AD&t=SR&vt=w&cs=1_d63c3d1e&cb=1604353272819&jobListingId=3711802950
488,Wish,San Francisco,CA,"Sr. Data Scientist, Pricing",https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1028788&s=149&guid=000001758ae860a28fa593f55d18f5f6&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_cdec5c0c&cb=1604353286790&jobListingId=3644821232
489,Facebook,San Francisco,CA,"Data Scientist, SBG",https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=1044074&s=149&guid=000001758ae860a28fa593f55d18f5f6&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_b536b42d&cb=1604353286791&jobListingId=3685253753
490,Plenty,San Francisco,CA,Staff Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1059337&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_402ea9c3&cb=1604353286793&jobListingId=3635360296
491,Ngm Biopharmaceuticals,San Francisco,CA,"Scientist, Discovery Biology",https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=975242&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_963c3adb&cb=1604353286795&jobListingId=3671995241
492,Evernote,San Francisco,CA,"Data Scientist, Analytics",https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=1088209&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d2b60769&cb=1604353286795&jobListingId=3702393325
493,Nextdoor,San Francisco,CA,Machine Learning Engineer - Infrastructure,https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=936154&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9c2e9825&cb=1604353286796&jobListingId=3636525101
494,Client of Wicresoft North America,San Francisco,CA,Scientist II - Clinical Pharmacology,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=1044076&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_23b1db87&cb=1604353286797&jobListingId=3727038709
495,Capital One - US,San Francisco,CA,Machine Learning Research Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=1044074&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_2dd48b1a&cb=1604353286797&jobListingId=3719868781
496,Tides,San Francisco,CA,Data Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=1123558&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_417fb8a8&cb=1604353286797&jobListingId=3666549306
497,Patreon,San Francisco,CA,Data Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=1120272&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3613d725&cb=1604353286797&jobListingId=3681772205
498,Granular,San Francisco,CA,Staff Data Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=1135020&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e7b80d89&cb=1604353286798&jobListingId=3693397991
499,Yummly,San Francisco,CA,"Senior Data Scientist, Machine Learning",https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=1130956&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1806a1a4&cb=1604353286799&jobListingId=3720029884
500,Grammarly,San Francisco,CA,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=1027049&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_d4d1e0bf&cb=1604353286799&jobListingId=3429712181
501,"SmartNews, Inc.",San Francisco,CA,Research Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=1125490&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_0626bf60&cb=1604353286800&jobListingId=3677803209
502,Nextdoor,San Francisco,CA,Senior Data Scientist - Member Experience,https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=1111780&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2004639c&cb=1604353286800&jobListingId=3710737448
503,Nektar Therapeutics,San Francisco,CA,"Scientist, Biologics Fermentation/Cell Culture",https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=1041618&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_0ea8f238&cb=1604353286800&jobListingId=3554800493
504,Opendoor,San Francisco,CA,Data Scientist - Pricing,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=335193&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_e06e87db&cb=1604353286801&jobListingId=3723591327
505,Arsenal Biosciences,San Francisco,CA,Process Development Scientist (Process Development and Technology Operations),https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=1070179&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_d956be83&cb=1604353286801&jobListingId=3638637782
506,Nextdoor,San Francisco,CA,Senior Data Scientist - Business Solutions,https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=1111780&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6817b165&cb=1604353286802&jobListingId=3709862495
507,App Annie,San Francisco,CA,Sr. Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=1067512&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8fc3fec1&cb=1604353286802&jobListingId=3717781467
508,Wish,San Francisco,CA,Data Scientist - Regional Merchandising Strategy,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=1028788&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_03d1cc55&cb=1604353286803&jobListingId=3623408905
509,Facebook,San Francisco,CA,"Data Scientist, Analytics",https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=1044074&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_eccefb26&cb=1604353286804&jobListingId=3686247779
510,Formation,San Francisco,CA,Senior Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=1134212&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_0a0a794a&cb=1604353286804&jobListingId=3708974221
511,Arsenal Biosciences,San Francisco,CA,Scientist - Bioengineering and Assay Development,https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=1070179&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_8b901b5f&cb=1604353286805&jobListingId=3655525761
512,Arsenal Biosciences,San Francisco,CA,Scientist - Synthetic Biology,https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=1070179&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_78891602&cb=1604353286805&jobListingId=3644946398
513,Arsenal Biosciences,San Francisco,CA,"Scientist, Analytics - Process and Technical Development, Manufacturing",https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=1070179&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_817c449b&cb=1604353286806&jobListingId=3539312905
514,Lyft,San Francisco,CA,"Data Scientist, Decisions",https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=1091461&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_a152f11c&cb=1604353286806&jobListingId=3698781758
515,Spectra Infosystems,San Francisco,CA,Entry Level Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=4134&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_24c155ae&cb=1604353286807&jobListingId=3721713739
516,Pinterest,San Francisco,CA,University Grad Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=134566&s=58&guid=000001758ae860a28ebfeb7d913ad43f&src=GD_JOB_AD&t=SR&vt=w&cs=1_56cecb68&cb=1604353286807&jobListingId=3690490516
